tconst,averagerating_x,numvotes_x,primary_title_x,original_title_x,start_year_x,runtime_minutes_x,genres_x,Animation_x,Sport_x,Mystery_x,Action_x,Comedy_x,Documentary_x,Romance_x,News_x,War_x,Horror_x,Fantasy_x,Family_x,Music_x,Musical_x,Sci-Fi_x,History_x,Biography_x,Thriller_x,Crime_x,Adventure_x,Drama_x,id,release_date,title_x,vote_average_x,vote_count_x,Year_x,category,primary_name,birth_year,death_year,id_x,release_date_x,movie,production_budget,domestic_gross,worldwide_gross,profit,id_y,release_date_y,title_y,vote_average_y,vote_count_y,Year_y,averagerating_y,numvotes_y,primary_title_y,original_title_y,start_year_y,runtime_minutes_y,genres_y,Animation_y,Sport_y,Mystery_y,Action_y,Comedy_y,Documentary_y,Romance_y,News_y,War_y,Horror_y,Fantasy_y,Family_y,Music_y,Musical_y,Sci-Fi_y,History_y,Biography_y,Thriller_y,Crime_y,Adventure_y,Drama_y
tt1728200,6.3,51,The Box,The Box,2011,89.0,Drama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,509316,2018-03-04,The Box,8.0,1,2018,writer,Slavoljub Stankovic,,,66,"Nov 6, 2009",The Box,25000000.0,15051977.0,"$34,356,760",-9948023.0,565736,2018-05-21,The Box,10.0,1,2018,6.3,51,The Box,The Box,2011,89.0,Drama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
tt1728200,6.3,51,The Box,The Box,2011,89.0,Drama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,509306,2018-03-04,The Box,6.0,1,2018,writer,Slavoljub Stankovic,,,66,"Nov 6, 2009",The Box,25000000.0,15051977.0,"$34,356,760",-9948023.0,509306,2018-03-04,The Box,6.0,1,2018,6.3,51,The Box,The Box,2011,89.0,Drama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
tt1728200,6.3,51,The Box,The Box,2011,89.0,Drama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,509306,2018-03-04,The Box,6.0,1,2018,writer,Slavoljub Stankovic,,,66,"Nov 6, 2009",The Box,25000000.0,15051977.0,"$34,356,760",-9948023.0,509316,2018-03-04,The Box,8.0,1,2018,6.3,51,The Box,The Box,2011,89.0,Drama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
tt1728200,6.3,51,The Box,The Box,2011,89.0,Drama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,509306,2018-03-04,The Box,6.0,1,2018,writer,Slavoljub Stankovic,,,66,"Nov 6, 2009",The Box,25000000.0,15051977.0,"$34,356,760",-9948023.0,509314,2018-03-04,The Box,8.0,1,2018,6.3,51,The Box,The Box,2011,89.0,Drama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
tt1728200,6.3,51,The Box,The Box,2011,89.0,Drama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,509306,2018-03-04,The Box,6.0,1,2018,writer,Slavoljub Stankovic,,,66,"Nov 6, 2009",The Box,25000000.0,15051977.0,"$34,356,760",-9948023.0,565736,2018-05-21,The Box,10.0,1,2018,6.3,51,The Box,The Box,2011,89.0,Drama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
tt1742650,4.9,18552,I Don't Know How She Does It,I Don't Know How She Does It,2011,89.0,"Comedy,Romance",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70868,2011-09-16,I Don't Know How She Does It,5.2,231,2011,writer,Aline Brosh McKenna,1967.0,,58,"Sep 16, 2011",I Don't Know How She Does It,24000000.0,9659074.0,"$24,474,463",-14340926.0,70868,2011-09-16,I Don't Know How She Does It,5.2,231,2011,4.9,18552,I Don't Know How She Does It,I Don't Know How She Does It,2011,89.0,"Comedy,Romance",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt1742650,4.9,18552,I Don't Know How She Does It,I Don't Know How She Does It,2011,89.0,"Comedy,Romance",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70868,2011-09-16,I Don't Know How She Does It,5.2,231,2011,writer,Allison Pearson,1960.0,,58,"Sep 16, 2011",I Don't Know How She Does It,24000000.0,9659074.0,"$24,474,463",-14340926.0,70868,2011-09-16,I Don't Know How She Does It,5.2,231,2011,4.9,18552,I Don't Know How She Does It,I Don't Know How She Does It,2011,89.0,"Comedy,Romance",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt1483013,7.0,453966,Oblivion,Oblivion,2013,124.0,"Action,Adventure,Sci-Fi",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,75612,2013-04-18,Oblivion,6.5,6850,2013,writer,Michael Arndt,1965.0,,93,"Apr 19, 2013",Oblivion,120000000.0,89107235.0,"$287,916,633",-30892765.0,75612,2013-04-18,Oblivion,6.5,6850,2013,7.0,453966,Oblivion,Oblivion,2013,124.0,"Action,Adventure,Sci-Fi",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
tt1483013,7.0,453966,Oblivion,Oblivion,2013,124.0,"Action,Adventure,Sci-Fi",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,75612,2013-04-18,Oblivion,6.5,6850,2013,writer,Karl Gajdusek,1968.0,,93,"Apr 19, 2013",Oblivion,120000000.0,89107235.0,"$287,916,633",-30892765.0,75612,2013-04-18,Oblivion,6.5,6850,2013,7.0,453966,Oblivion,Oblivion,2013,124.0,"Action,Adventure,Sci-Fi",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
tt1951264,7.5,575455,The Hunger Games: Catching Fire,The Hunger Games: Catching Fire,2013,146.0,"Action,Adventure,Sci-Fi",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,101299,2013-11-22,The Hunger Games: Catching Fire,7.4,11170,2013,writer,Michael Arndt,1965.0,,38,"Nov 22, 2013",The Hunger Games: Catching Fire,130000000.0,424668047.0,"$864,868,047",294668047.0,101299,2013-11-22,The Hunger Games: Catching Fire,7.4,11170,2013,7.5,575455,The Hunger Games: Catching Fire,The Hunger Games: Catching Fire,2013,146.0,"Action,Adventure,Sci-Fi",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
tt1951264,7.5,575455,The Hunger Games: Catching Fire,The Hunger Games: Catching Fire,2013,146.0,"Action,Adventure,Sci-Fi",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,101299,2013-11-22,The Hunger Games: Catching Fire,7.4,11170,2013,writer,Simon Beaufoy,1967.0,,38,"Nov 22, 2013",The Hunger Games: Catching Fire,130000000.0,424668047.0,"$864,868,047",294668047.0,101299,2013-11-22,The Hunger Games: Catching Fire,7.4,11170,2013,7.5,575455,The Hunger Games: Catching Fire,The Hunger Games: Catching Fire,2013,146.0,"Action,Adventure,Sci-Fi",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
