tconst,averagerating,numvotes,primary_title,original_title,start_year,runtime_minutes,genres,Animation,Sport,Mystery,Action,Comedy,Documentary,Romance,News,War,Horror,Fantasy,Family,Music,Musical,Sci-Fi,History,Biography,Thriller,Crime,Adventure,Drama,id,release_date,title,vote_average,vote_count,Year,category,primary_name,birth_year,death_year
tt1568343,5.6,5905,The Humbling,The Humbling,2014,112.0,"Comedy,Drama,Romance",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,254023,2015-01-23,The Humbling,5.3,60,2015,writer,Buck Henry,1930.0,
tt1568343,5.6,5905,The Humbling,The Humbling,2014,112.0,"Comedy,Drama,Romance",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,254023,2015-01-23,The Humbling,5.3,60,2015,writer,Michal Zebede,,
tt1572154,6.7,423,Kinyarwanda,Kinyarwanda,2011,100.0,"Drama,History,Romance",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,81215,2011-01-24,Kinyarwanda,6.3,4,2011,writer,Patricia Janvier,,
tt1572154,6.7,423,Kinyarwanda,Kinyarwanda,2011,100.0,"Drama,History,Romance",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,81215,2011-01-24,Kinyarwanda,6.3,4,2011,writer,Ishmael Ntihabose,,
tt1572154,6.7,423,Kinyarwanda,Kinyarwanda,2011,100.0,"Drama,History,Romance",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,81215,2011-01-24,Kinyarwanda,6.3,4,2011,writer,Charles Plath,,
tt1572503,1.7,468,Robin Hood: Ghosts of Sherwood,Robin Hood: Ghosts of Sherwood,2012,116.0,"Action,Adventure,Mystery",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,153998,2011-11-12,Robin Hood: Ghosts of Sherwood,3.0,5,2011,writer,Seán Lee,,
tt1586265,5.7,65890,What to Expect When You're Expecting,What to Expect When You're Expecting,2012,110.0,"Comedy,Drama,Romance",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,76494,2012-05-18,What to Expect When You're Expecting,5.9,1130,2012,writer,Shauna Cross,,
tt1586265,5.7,65890,What to Expect When You're Expecting,What to Expect When You're Expecting,2012,110.0,"Comedy,Drama,Romance",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,76494,2012-05-18,What to Expect When You're Expecting,5.9,1130,2012,writer,Heather Hach,,
tt1586265,5.7,65890,What to Expect When You're Expecting,What to Expect When You're Expecting,2012,110.0,"Comedy,Drama,Romance",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,76494,2012-05-18,What to Expect When You're Expecting,5.9,1130,2012,writer,Heidi Murkoff,,
tt1617172,4.1,356,Re-Cut,Re-Cut,2010,80.0,"Horror,Thriller",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,62105,2010-01-04,Re-Cut,3.8,10,2010,writer,Dylan Manger,,
tt1622566,4.0,360,After Effect,After Effect,2012,95.0,"Action,Horror,Thriller",0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,206203,2013-10-08,After Effect,5.2,7,2013,writer,Marc Menet,,
tt1628841,5.2,155344,Independence Day: Resurgence,Independence Day: Resurgence,2016,120.0,"Action,Adventure,Sci-Fi",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,47933,2016-06-24,Independence Day: Resurgence,5.1,3911,2016,writer,James Vanderbilt,1975.0,
tt1628841,5.2,155344,Independence Day: Resurgence,Independence Day: Resurgence,2016,120.0,"Action,Adventure,Sci-Fi",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,47933,2016-06-24,Independence Day: Resurgence,5.1,3911,2016,writer,Nicolas Wright,,
tt1628841,5.2,155344,Independence Day: Resurgence,Independence Day: Resurgence,2016,120.0,"Action,Adventure,Sci-Fi",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,47933,2016-06-24,Independence Day: Resurgence,5.1,3911,2016,writer,Dean Devlin,1962.0,
tt1628841,5.2,155344,Independence Day: Resurgence,Independence Day: Resurgence,2016,120.0,"Action,Adventure,Sci-Fi",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,47933,2016-06-24,Independence Day: Resurgence,5.1,3911,2016,writer,Carter Blanchard,,
tt1628841,5.2,155344,Independence Day: Resurgence,Independence Day: Resurgence,2016,120.0,"Action,Adventure,Sci-Fi",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,47933,2016-06-24,Independence Day: Resurgence,5.1,3911,2016,writer,James A. Woods,1979.0,
tt1645155,6.1,27298,Erased,Erased,2012,100.0,"Action,Thriller",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,106021,2013-05-17,Erased,5.8,347,2013,writer,Arash Amel,,
tt4882964,6.6,634,Erased,Bokudake ga inai machi,2016,120.0,"Drama,Mystery,Sci-Fi",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,106021,2013-05-17,Erased,5.8,347,2013,writer,Noriko Gotô,,
tt4882964,6.6,634,Erased,Bokudake ga inai machi,2016,120.0,"Drama,Mystery,Sci-Fi",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,106021,2013-05-17,Erased,5.8,347,2013,writer,Kei Sambe,,
